Catálogo de tipos de relación entre CFDI.;;;
Versión;Revisión;;
2.0;0;;
;;;
c_TipoRelacion;Descripción;Fecha inicio de vigencia;Fecha fin de vigencia
01;Nota de crédito de los documentos relacionados;01/01/2017;
02;Nota de débito de los documentos relacionados;01/01/2017;
03;Devolución de mercancía sobre facturas o traslados previos;01/01/2017;
04;Sustitución de los CFDI previos;01/01/2017;
05;Traslados de mercancias facturados previamente;01/01/2017;
06;Factura generada por los traslados previos;01/01/2017;
07;CFDI por aplicación de anticipo;13/08/2017;
